method,rank,alpha,layers,total_time,avg_time_per_batch,avg_time_per_sample,throughput
No Defense,0,0.0,0,0.870734453201294,0.0870734453201294,0.0027210451662540436,367.50584385802784
cp,64,0.3,1,1.5970616340637207,0.15970616340637206,0.004990817606449127,200.36797151388612
tucker,64,0.3,1,2.4017250537872314,0.24017250537872314,0.007505390793085098,133.23756584684767
tt,64,0.3,1,1.0647473335266113,0.10647473335266114,0.0033273354172706606,300.5407855214903
cp-multi,64,0.3,2,2.5754497051239014,0.2575449705123901,0.008048280328512191,124.2501452710781
tt-multi,64,0.3,2,1.7110612392425537,0.17110612392425537,0.00534706637263298,187.01843783315226
tt-multi,64,0.3,5,3.426344156265259,0.34263441562652586,0.010707325488328933,93.39400404797702
