defense,clean_recall@1,clean_recall@5,clean_recall@10,adversarial_recall@1,adversarial_recall@5,adversarial_recall@10
clean,0.6392952127659575,0.9310726954581889,0.9827127659574468,0.6392952127659575,0.9310726954581889,0.9827127659574468
adversarial,0.03800975178625989,0.1685505319148936,0.3151595744680851,0.03800975178625989,0.1685505319148936,0.3151595744680851
CP Multi-Layer (5 Layers),0.0726950354874134,0.2896719860269668,0.4855939720539337,0.0726950354874134,0.2896719860269668,0.4855939720539337
Tucker Multi-Layer (5 Layers),0.11225620577944086,0.3716755319148936,0.583665780564572,0.11225620577944086,0.3716755319148936,0.583665780564572
TT Multi-Layer (5 Layers),0.11934840425531915,0.39716312067305787,0.6211214541120732,0.11934840425531915,0.39716312067305787,0.6211214541120732
